stationID,longitude,latitude,line
1343,40.71863833,-74.000623,4-6-6 Express-J-Z-N-Q-R
1344,40.72249733,-74.005994,1
1345,40.72620833,-74.00399,A-C-E
1346,40.72798333,-74.00565,1
1347,40.72856133,-74.00554,1
1348,40.72773933,-74.005305,1
1349,40.72798933,-74.005258,1
1350,40.72868633,-74.005517,1
1351,40.72865634,-74.005086,1
1352,40.72239033,-73.997437,4-6-6 Express
1353,40.72223534,-73.996818,4-6-6 Express
1354,40.71819133,-73.993577,B-D
1355,40.72000533,-73.993581,J-Z
1356,40.72030533,-73.993428,J-Z
1357,40.72435633,-73.997891,N-R
1358,40.72412333,-73.99768,N-R
1359,40.72520233,-73.996583,4-5-6-6 Express-B-D-F-M
1360,40.72498733,-73.995628,4-5-6-6 Express-B-D-F-M
1361,40.72501133,-73.995745,4-5-6-6 Express-B-D-F-M
1362,40.72534434,-73.995612,4-5-6-6 Express-B-D-F-M
1363,40.72604733,-73.994759,4-5-6-6 Express-B-D-F-M
1364,40.72572633,-73.994579,4-6-6 Express
1365,40.72584533,-73.99432,4-6-6 Express
1366,40.72366533,-73.991651,F
1367,40.72978633,-73.99325,N-R
1368,40.72969133,-73.993038,N-R
1369,40.73047733,-73.992286,N-R
1370,40.72996873,-73.99141039,4-6-6 Express
1371,40.73008433,-73.990838,4-6-6 Express
1372,40.73346733,-74.003076,1
1373,40.73363433,-74.003123,1
1374,40.73340233,-74.002748,1
1375,40.73113333,-74.001534,A-C-E-B-D-F-M
1376,40.73063833,-73.992717,N-R
1377,40.73076933,-73.992615,N-R
1378,40.71272733,-73.990126,F
1379,40.71440433,-73.989918,F
1380,40.7182075,-73.98827347,F-J-M-Z
1381,40.71855133,-73.987623,F-J-M-Z
1382,40.72280733,-73.988942,F
1383,40.72320033,-73.988863,F
1384,40.70631478,-74.01405562,N-R
1385,40.71858934,-74.00055194,4-6-6 Express-J-Z-N-Q-R
1386,40.71815509,-74.00031694,4-6-6 Express-J-Z-N-Q-R
1387,40.71120575,-74.0112755,N-R
1388,40.67920153,-73.99570722,F-G
1389,40.68079734,-73.99433339,F-G
1390,40.68544733,-73.991114,F-G
1391,40.68673433,-73.99061,F-G
1392,40.68687633,-73.990513,F-G
1393,40.68598133,-73.972987,A-C
1394,40.82967634,-73.874541,6
1395,40.70182033,-73.801873,E-J-Z
1396,40.75006233,-73.862198,7
1397,40.69702333,-73.935736,J-M-Z
1398,40.57651833,-73.967672,B-Q
1399,40.69388633,-73.929471,J
1400,40.76143233,-73.98437,1-2
1401,40.71684333,-73.956301,L
1402,40.68052585,-73.94944335,A-C
1403,40.66599933,-73.979256,F
1404,40.71393933,-73.949229,G-L
1405,40.74883533,-73.93704,E-M-R
1406,40.67446234,-73.896714,A-C
1407,40.70675485,-74.00880373,2-3
1408,40.71016233,-74.009156,2-3-4-5-A-C-J-Z
1409,40.72426033,-73.997977,N-R
1410,40.64503433,-73.948795,2-5
1411,40.70160556,-74.01333346,1
1412,40.69550433,-73.949071,G
1413,40.66323833,-73.950674,2-5
1414,40.84942433,-73.933339,1
1415,40.70869997,-73.95912626,J-M-Z
1416,40.75899633,-73.980788,B-D-F-M
1417,40.74242433,-73.953147,7-7 Express
1418,40.75227938,-73.97827999,4-5-6-6 Express-7-7 Express-S
1419,40.75433533,-73.987097,1-2-3-7-7 Express-S-A-C-E-N-Q-R
1420,40.75533371,-73.98393426,7-7 Express-B-D-F-M
1421,40.78590333,-73.950698,4-6-6 Express
1422,40.75715333,-73.972143,4-6-6 Express-E-M
1423,40.71389033,-74.003637,4-5-6-6 Express-J-Z
1424,40.73533233,-73.99105,4-5-6-6 Express-L-N-Q-R
1425,40.74624233,-73.9816,4-6-6 Express
1426,40.73436133,-73.98928,4-5-6-6 Express-L-N-Q-R
1427,40.79841933,-73.941634,4-6-6 Express
1428,40.71018433,-73.79473,F
1429,40.71306033,-73.782651,F
1430,40.59113433,-73.796517,A
1431,40.59522633,-73.768247,A
1432,40.66361594,-73.90058384,L
1433,40.68620834,-73.824521,A-S
1434,40.60782034,-74.00157,D
1435,40.87399733,-73.886504,B-D
1436,40.86553733,-73.867524,2-5
1437,40.83409233,-73.851788,6-6 Express
